1,3,5
2,47,6
3,7,5
4,19,6
5,62,5
6,44,3
7,49,1
8,20,1
9,10,4
10,59,4
11,1,5
12,21,6
13,32,5
14,60,2
15,48,3
16,27,5
17,15,1
18,18,1
19,30,4
20,23,4
21,46,5
22,53,2
23,46,5
24,13,3
25,4,1
26,50,2
27,56,2
28,35,2
29,40,5
30,61,2
31,46,3
32,69,5
33,46,5
34,59,6
35,9,1
36,5,6
37,49,5
38,9,1
39,46,5
40,50,6
41,25,5
42,39,2
43,24,2
44,55,6
45,28,5
46,51,2
47,6,3
48,65,1
49,64,2
50,33,2
51,66,2
52,17,5
53,57,2
54,52,6
55,8,2
56,29,2
57,43,1
58,22,1
59,42,2
60,66,6
61,12,1
62,68,6
63,54,3
64,41,6
65,63,5
66,11,6
67,2,5
68,14,5
69,47,6
70,26,6
71,34,1
72,36,2
73,45,1
74,67,2
75,31,1
76,16,6
77,37,1
78,38,1
79,10,6
80,58,6
